GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDogs,GISPROD3OSMPTrailsOSMPDogRegGen,GISPROD3OSMPTrailsOSMPDogRegDesc,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID
1145,OSMP,No,Climbing Access,341-232-233,No,341,0.114,-9999,South Face Seal Rock,{B3C8EFA3-89A9-4FE9-8DB1-2D89C4CB2C1F},,,,433,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{A2067DB7-BB83-4177-9974-EA4D667722A9}
1185,OSMP,No,Hiking Trail,222-044-153,Yes,222,0.491,2630,Shanahan - Mesa,{55E43239-00BD-4631-B3C8-D3BC8EF7D3F0},,,,438,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{B1A71B6D-B735-4B42-B9DF-77F54BBCA15F}
1196,OSMP,No,Climbing Access,262-257-256,No,262,0.15,-9999,3rd Flatiron,{5AE2B26B-3545-455C-A2C2-ACCAC0D58626},,,,448,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{709B0FA1-AFA5-4DA5-8A91-D52BB354E358}
1224,OSMP,No,Climbing Access,262-258-257,No,262,0.045,-9999,3rd Flatiron,{A006CC2B-4D2A-444F-A82F-43DCC5C5E95A},,,,9,Feb 1 to July 31 for Raptors,,,Open,Seasonal Wildlife Closure,,https://bouldercolorado.gov/osmp/temporary-closures,Climbing Access Trail in Seasonal Wildlefe Closure Area,{5A4A56EC-63CE-43B9-AA27-EF13D409758D}
1211,OSMP,Yes,Multi-Use Trail,502-539-555,Yes,502,0.465,2502,East Boulder - Gunbarrel,{B7B7E018-AC9B-4DBA-849C-5D73CF58A9DC},,,,179,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{9E7B062F-DF93-4DFB-B344-02F7173C500B}
1276,OSMP,No,Hiking Trail,300-072-372,Yes,300,0.044,,Dunn House Loop,{0C6A5C47-CB88-444A-94DE-F9C0D71B8679},,,,541,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{B5313C10-F7B9-4B86-BA24-9DE856FDAFB2}
1277,OSMP,No,Hiking Trail,201-372-072,Yes,201,0.013,,Mesa,{A60420C2-C56A-4929-948E-A8AD9AB5433B},,,,545,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{48718188-10B0-4BE6-867B-D4E585994994}
1275,OSMP,No,Hiking Trail,201-069-070,Yes,201,0.022,,Mesa,{411DDDE9-6FAB-47C0-B546-1C00636B2ADA},,,,542,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{AE3BEA81-689D-4002-A435-E945D29C0757}
1280,NIST,No,Hiking Trail,336-089-092,No,336,0.048,,NIST Service Rd Connector,{389E83A0-9DCF-44F3-93F2-7DBEDD2B1EC1},,,,565,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{59EE28EB-D459-470D-89E4-365B93F558BC}
1279,OSMP,No,Hiking Trail,201-128-129,Yes,201,0.011,,Mesa,{C8B68379-4A18-4963-AD7B-7321808BED82},,,,578,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{F906AA24-AE53-4057-A68A-597C255F1168}
1150,OSMP,No,Hiking Trail,211-002-003,Yes,211,0.918,,Lower Big Bluestem,{48A00015-EC65-4855-8B2C-8DC788E0E0B7},,,,605,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{9A3A9FF3-AC8A-4EA1-AF1E-0F3D38A49ED6}
1151,OSMP,No,Hiking Trail,211-003-004,Yes,211,0.561,,Lower Big Bluestem,{6D8C2605-A0C6-4C53-BE9C-9B50B6993595},,,,606,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{D35C75CD-E5EA-4A7A-B0AF-CE731B959848}
1152,OSMP,No,Hiking Trail,213-004-157,Yes,213,0.964,,Upper Big Bluestem,{E427818A-9611-4F1E-BEAA-42F67FCE8A0C},,,,607,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{2C053140-7BBF-4531-8381-AB627D78638E}
1153,OSMP,No,Hiking Trail,214-009-003,Yes,214,0.47,,Bluestem Connector,{AB9552BE-5DEE-4605-B134-12C1CAEB2C17},,,,608,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{0D5CCAF5-23CF-4EC6-8678-4FD49BFBFB52}
1154,OSMP,No,Hiking Trail,201-160-158,Yes,201,0.404,,Mesa,{DC6C64B5-4BC5-4BD9-9410-0C0D9C28FB05},,,,609,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{2CD05C06-0F95-4464-9487-BEF452719C53}
1155,OSMP,No,Hiking Trail,201-157-158,Yes,201,0.219,,Mesa,{8E98F120-F9EB-483C-BC5A-C03334A66AAA},,,,610,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{1D7F33C6-1D83-4246-AA87-8390683AD993}
1156,OSMP,No,Hiking Trail,228-145-140,Yes,228,0.962,,Green Mountain West Ridge,{B952930A-F62F-4744-8D87-B42A2AC6A53F},,,,611,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{A1D68BD4-1E01-4532-9620-3B47C20FD5CA}
1197,OSMP,No,Hiking Trail,228-140-146,Yes,228,0.767,,Green Mountain West Ridge,{360AEC93-0B7B-4588-B50E-1CC497D4A2FA},,,,612,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{FA4846BE-1917-45C7-BB78-3046CA2A1DE4}
1198,OSMP,No,Hiking Trail,205-164-160,Yes,205,0.302,,Shadow Canyon South Spur,{49A02A49-8DE3-46C8-9981-8261CAB98109},,,,521,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{ABCCC99C-C3C2-4279-967B-144AE52A90B1}
1199,OSMP,No,Hiking Trail,203-065-066,Yes,203,1.312,,Homestead,{7DBA7F1E-095B-451B-B13A-49A2ED466A39},,,,613,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{5297273C-2B73-43FD-914E-A87A9117CD7A}
1200,OSMP,No,Hiking Trail,202-067-068,No,202,0.664,,Towhee,{DA067C54-FF76-4F62-8E54-B4F1A3AC2ACB},,,,614,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{95F2BDC6-091C-476B-BAC2-7958A226845B}
1201,OSMP,No,Hiking Trail,306-073-074,Yes,306,0.176,,Mesa Connector,{82D347A7-500C-4E11-8676-FBEA597711DA},,,,615,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{D1142450-0F1C-4C4A-948D-563D72DBEEF6}
1202,OSMP,No,Hiking Trail,210-008-007,Yes,210,1.945,,South Boulder Creek West,{5D022B6A-5F36-4FF4-B016-529E84C4E9AE},,,,616,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{E8333706-A3A1-460D-951B-37F3CE71FD1A}
1203,OSMP,No,Hiking Trail,201-117-044,Yes,201,0.412,,Mesa,{2069C03B-C3EC-4ECA-996C-4B958646D7B0},,,,617,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{A241EFF8-7166-4C9F-9BF3-DD4E7EAD9682}
1204,OSMP,No,Hiking Trail,201-044-045,Yes,201,0.502,,Mesa,{DF53CEA8-9BC0-45FB-88EE-768EF8425ECC},,,,618,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{958C83E4-67BE-4CE7-94B1-D8BD889789E4}
1234,OSMP,No,Hiking Trail,201-045-157,Yes,201,0.401,,Mesa,{98A3B1BD-D267-4947-957B-A75691F22195},,,,619,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{3AFD34F9-CBCC-4F61-AF9A-639A1B4D703C}
1235,OSMP,No,Hiking Trail,220-038-037,Yes,220,0.168,,Lehigh Connector - North,{D467AEC1-A102-46FF-B646-2F68E0F39A1E},,,,620,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{7D62F415-1AA3-4B6C-9672-8A7036DB3EBE}
1236,OSMP,No,Hiking Trail,212-004-005,Yes,212,0.242,,Big Bluestem West,{D026BD8B-C485-436C-9C86-E66C64D5F282},,,,621,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{76F20F6D-4931-400D-9CCB-C6882264076A}
1237,OSMP,No,Hiking Trail,299-071-070,Yes,299,0.126,,South Mesa Spur,{188EF89F-FF96-400D-B157-556B956F6526},,,,622,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{D144C5DB-8146-44AA-A63A-DDD7503136D0}
1238,OSMP,No,Hiking Trail,312-163-165,Yes,312,0.679,,Old Mesa,{C554BC46-80F0-45BC-9413-2BC8CEFA6867},,,,623,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{D7A1C7A8-0B79-41A5-8BD5-31A644F5C111}
1239,NCAR,No,Hiking Trail,237-110-114,No,237,0.284,,NCAR Water Tank Rd,{8AEFC38F-9940-4878-8FA7-209CAF759C41},,,,624,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{B44E10CF-FF56-4700-B57D-A6D885446098}
1240,NCAR,No,Hiking Trail,235-110-111,No,235,0.101,,NCAR,{4DA9B5A4-28BD-4C7A-B900-82A5A7D52E2F},,,,625,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{72AB50DD-0368-465E-89BD-96EDB08EF5AE}
1241,OSMP,No,Hiking Trail,235-111-112,Yes,235,0.118,,NCAR,{AD078E78-8A78-4923-8FA2-F01B1550B8D1},,,,626,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{5CBCB949-50A9-490F-9245-81001F24C33E}
1242,OSMP,No,Hiking Trail,201-112-113,Yes,201,0.08,,Mesa,{5DBD8DB0-97BF-4E6F-AA83-F8822988E35F},,,,627,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{956E37A9-2B1E-428D-AD02-F93301F462FA}
1267,OSMP,No,Hiking Trail,201-113-103,Yes,201,0.362,,Mesa,{7E3DA4C7-DA69-464D-839B-0A2A7645E8BC},,,,22,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/osmp/osmp-projects,Full-day and short-term closures,{06B8E89A-718B-4DD7-A204-4B81C4C525CA}
1268,NCAR,No,Hiking Trail,235-113-111,Yes,235,0.115,,NCAR,{C0104B8A-6D7C-4604-9D2C-51A9262CBFB7},,,,628,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{B28F2EEF-F177-49E6-8F67-7004B1C130EC}
1269,NCAR,No,Hiking Trail,235-105-106,No,235,0.1,,NCAR,{853001D4-EB8A-40D9-A6DD-195CC89176A3},,,,629,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{C0DC36A4-3580-4CB9-8B99-225FEC209E09}
1270,NCAR,No,Hiking Trail,235-106-108,No,235,0.009,,NCAR,{D9F9F1AE-AD85-43BA-B815-2DDDEDCBF3B5},,,,630,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{3D818324-1DCA-4186-AF45-A4A386296530}
1271,NCAR,No,Hiking Trail,235-109-108,No,235,0.103,,NCAR,{88AACDD3-231F-4128-B8F3-E8347D74DDB9},,,,631,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{456BD3AE-69EA-4F76-B295-D9ABA35BE08D}
1272,NCAR,No,Hiking Trail,235-108-109,No,235,0.099,,NCAR,{7A7DD079-D931-4103-8E65-80213ABA25E7},,,,632,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{63D93278-5100-44DA-805F-A409BCFDD401}
1273,NCAR,No,Hiking Trail,235-106-107,No,235,0.044,,NCAR,{3ADD9D72-D899-49F7-BE9E-DC2D54429078},,,,633,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{2AC8C86A-47F6-4F02-A382-60596FAB8B5C}
1274,NCAR,No,Hiking Trail,235-109-110,No,235,0.261,,NCAR,{0E20F49E-4089-42CA-A741-4344F38DF97B},,,,634,,,,Open,,,https://bouldercolorado.gov/osmp/temporary-closures,,{5BC3D39E-1ECE-4309-825B-64A6EAF763AC}
